semeval2015.d000.s000.t000 bn:00028015n
semeval2015.d000.s000.t001 bn:00075142n
semeval2015.d000.s000.t002 bn:00102440a
semeval2015.d000.s000.t003 bn:00109211a
semeval2015.d000.s000.t004 bn:00006502n
semeval2015.d000.s000.t005 bn:00067181n
semeval2015.d000.s001.t000 bn:00087870v
semeval2015.d000.s001.t001 bn:00021015n
semeval2015.d000.s001.t002 bn:00106556a
semeval2015.d000.s001.t003 bn:00064584n
semeval2015.d000.s001.t004 bn:00104385a
semeval2015.d000.s001.t005 bn:00030627n
semeval2015.d000.s001.t006 bn:00082720v
semeval2015.d000.s001.t007 bn:00074790n
semeval2015.d000.s001.t008 bn:00087107v
semeval2015.d000.s001.t009 bn:00088789v
semeval2015.d000.s001.t010 bn:00066562n
semeval2015.d000.s001.t011 bn:00082705v
semeval2015.d000.s001.t012 bn:00054128n
semeval2015.d000.s002.t000 bn:00091029v
semeval2015.d000.s002.t001 bn:00106935a
semeval2015.d000.s002.t002 bn:00025314n
semeval2015.d000.s002.t003 bn:00106555a
semeval2015.d000.s002.t004 bn:00021648n
semeval2015.d000.s002.t005 bn:00047235n
semeval2015.d000.s002.t006 bn:00092424v
semeval2015.d000.s002.t007 bn:00013882n
semeval2015.d000.s002.t008 bn:00012133n
semeval2015.d000.s002.t009 bn:00114246r
semeval2015.d000.s002.t010 bn:00027912n
semeval2015.d000.s002.t011 bn:00085696v
semeval2015.d000.s002.t012 bn:00027976n
semeval2015.d000.s002.t013 bn:00004992n
semeval2015.d000.s003.t000 bn:00086682v
semeval2015.d000.s003.t001 bn:00106935a
semeval2015.d000.s003.t002 bn:00025314n
semeval2015.d000.s003.t003 bn:00008870n
semeval2015.d000.s003.t004 bn:00066562n
semeval2015.d000.s003.t005 bn:00092424v
semeval2015.d000.s003.t006 bn:00110176a
semeval2015.d000.s003.t007 bn:00027523n
semeval2015.d000.s003.t008 bn:00114246r
semeval2015.d000.s003.t009 bn:00027912n
semeval2015.d000.s005.t000 bn:00063927n
semeval2015.d000.s005.t001 bn:00083187v
semeval2015.d000.s005.t002 bn:00072760n
semeval2015.d000.s005.t003 bn:00046734n
semeval2015.d000.s005.t004 bn:00087306v
semeval2015.d000.s005.t005 bn:00079681n
semeval2015.d000.s006.t000 bn:00085499v
semeval2015.d000.s006.t001 bn:00096387a
semeval2015.d000.s006.t002 bn:00074987n
semeval2015.d000.s007.t000 bn:00082705v
semeval2015.d000.s008.t000 bn:00082705v
semeval2015.d000.s008.t001 bn:00084532v
semeval2015.d000.s008.t002 bn:00078798n
semeval2015.d000.s008.t003 bn:00015180n
semeval2015.d000.s008.t004 bn:00108692a
semeval2015.d000.s008.t005 bn:00054512n
semeval2015.d000.s008.t006 bn:00015180n
semeval2015.d000.s008.t007 bn:00051366n
semeval2015.d000.s008.t008 bn:00052341n
semeval2015.d000.s008.t009 bn:00114778r
semeval2015.d000.s008.t010 bn:00084699v
semeval2015.d000.s008.t011 bn:00032384n
semeval2015.d000.s008.t012 bn:00006236n
semeval2015.d000.s009.t000 bn:00082705v
semeval2015.d000.s009.t001 bn:00114766r
semeval2015.d000.s009.t002 bn:00097220a
semeval2015.d000.s009.t003 bn:00054128n
semeval2015.d000.s009.t004 bn:00015180n
semeval2015.d000.s009.t005 bn:00092783v
semeval2015.d000.s009.t006 bn:00059129n
semeval2015.d000.s009.t007 bn:00096871a
semeval2015.d000.s009.t008 bn:00106363a
semeval2015.d000.s009.t009 bn:00092083v
semeval2015.d000.s009.t010 bn:00105982a
semeval2015.d000.s009.t011 bn:00092083v
semeval2015.d000.s009.t012 bn:00115155r
semeval2015.d000.s009.t013 bn:00108011a
semeval2015.d000.s009.t014 bn:00060765n
semeval2015.d000.s009.t015 bn:00011744n
semeval2015.d000.s009.t016 bn:00061017n
semeval2015.d000.s009.t017 bn:00116360r
semeval2015.d000.s009.t018 bn:00087863v
semeval2015.d000.s009.t019 bn:00018141n
semeval2015.d000.s009.t020 bn:00054128n
semeval2015.d000.s009.t021 bn:00015180n
semeval2015.d000.s009.t022 bn:00096528a
semeval2015.d000.s009.t023 bn:00106664a
semeval2015.d000.s009.t024 bn:00017027n
semeval2015.d000.s009.t025 bn:00052343n
semeval2015.d000.s009.t026 bn:00116360r
semeval2015.d000.s009.t027 bn:00082427v
semeval2015.d000.s009.t028 bn:00073708n
semeval2015.d000.s010.t000 bn:00082705v
semeval2015.d000.s010.t001 bn:00020878n
semeval2015.d000.s010.t002 bn:00061017n
semeval2015.d000.s010.t003 bn:00116360r
semeval2015.d000.s010.t004 bn:00084532v
semeval2015.d000.s010.t005 bn:00061017n
semeval2015.d000.s010.t006 bn:00087863v
semeval2015.d000.s010.t007 bn:00078798n
semeval2015.d000.s010.t008 bn:00018141n
semeval2015.d000.s010.t009 bn:00060928n
semeval2015.d000.s011.t000 bn:00054128n
semeval2015.d000.s011.t001 bn:00116450r
semeval2015.d000.s011.t002 bn:00091124v
semeval2015.d000.s011.t003 bn:00064195n
semeval2015.d000.s012.t000 bn:00082705v
semeval2015.d000.s013.t000 bn:00116450r
semeval2015.d000.s013.t001 bn:00088826v
semeval2015.d000.s013.t002 bn:00059908n
semeval2015.d000.s013.t003 bn:00027976n
semeval2015.d000.s013.t004 bn:00030627n
semeval2015.d000.s013.t005 bn:00097220a
semeval2015.d000.s013.t006 bn:00018141n
semeval2015.d000.s014.t000 bn:00028320n
semeval2015.d000.s014.t001 bn:00054701n
semeval2015.d000.s014.t002 bn:00017102n
semeval2015.d000.s014.t003 bn:00011744n
semeval2015.d000.s014.t004 bn:00005518n
semeval2015.d000.s014.t005 bn:00084373v
semeval2015.d000.s014.t006 bn:00082705v
semeval2015.d000.s014.t007 bn:00061017n
semeval2015.d000.s014.t008 bn:00043545n
semeval2015.d000.s014.t009 bn:00080831n
semeval2015.d000.s015.t000 bn:00088826v
semeval2015.d000.s015.t001 bn:00115811r
semeval2015.d000.s015.t002 bn:00102467a
semeval2015.d000.s015.t003 bn:00043484n
semeval2015.d000.s015.t004 bn:00102230a
semeval2015.d000.s015.t005 bn:00046734n
semeval2015.d000.s015.t006 bn:00087620v
semeval2015.d000.s015.t007 bn:00055094n
semeval2015.d000.s016.t000 bn:00092595v
semeval2015.d000.s016.t001 bn:00071445n
semeval2015.d000.s016.t002 bn:00061017n
semeval2015.d000.s016.t003 bn:00085689v
semeval2015.d000.s016.t004 bn:00001507n
semeval2015.d000.s016.t005 bn:00035585n
semeval2015.d000.s016.t006 bn:00078798n
semeval2015.d000.s016.t007 bn:00080147n
semeval2015.d000.s016.t008 bn:00046787n
semeval2015.d000.s016.t009 bn:00004712n
semeval2015.d000.s016.t010 bn:00047235n
semeval2015.d000.s017.t000 bn:00088826v
semeval2015.d000.s017.t001 bn:00054128n
semeval2015.d000.s017.t002 bn:00088454v
semeval2015.d000.s017.t003 bn:00083115v
semeval2015.d000.s017.t004 bn:00035426n
semeval2015.d000.s017.t005 bn:00088454v
semeval2015.d000.s017.t006 bn:00025983n
semeval2015.d000.s017.t007 bn:00114246r
semeval2015.d000.s017.t008 bn:00088826v
semeval2015.d000.s017.t009 bn:00114512r
semeval2015.d000.s017.t010 bn:00114165r
semeval2015.d000.s017.t011 bn:00028320n
semeval2015.d000.s018.t000 bn:00047235n
semeval2015.d000.s018.t001 bn:00086515v
semeval2015.d000.s018.t002 bn:00083908v
semeval2015.d000.s018.t003 bn:00028320n
semeval2015.d000.s018.t004 bn:00084079v
semeval2015.d000.s018.t005 bn:00061017n
semeval2015.d000.s018.t006 bn:00011364n
semeval2015.d000.s018.t007 bn:00096158a
semeval2015.d000.s018.t008 bn:00088745v
semeval2015.d000.s018.t009 bn:00099474a
semeval2015.d000.s018.t010 bn:00108011a
semeval2015.d000.s018.t011 bn:00071445n
semeval2015.d000.s019.t000 bn:00116360r
semeval2015.d000.s019.t001 bn:00082418v
semeval2015.d000.s019.t002 bn:00030627n
semeval2015.d000.s019.t003 bn:00061017n
semeval2015.d000.s019.t004 bn:00106826a
semeval2015.d000.s019.t005 bn:00110473a
semeval2015.d000.s019.t006 bn:00049083n
semeval2015.d000.s019.t007 bn:00048242n
semeval2015.d000.s020.t000 bn:00106935a
semeval2015.d000.s020.t001 bn:00025314n
semeval2015.d000.s020.t002 bn:00087787v
semeval2015.d000.s020.t003 bn:00075142n
semeval2015.d000.s020.t004 bn:00064584n
semeval2015.d000.s020.t005 bn:00114246r
semeval2015.d000.s020.t006 bn:00027912n
semeval2015.d000.s022.t000 bn:00096387a
semeval2015.d000.s022.t001 bn:00074987n
semeval2015.d000.s022.t002 bn:00100866a
semeval2015.d000.s022.t003 bn:00054128n
semeval2015.d000.s022.t004 bn:00054128n
semeval2015.d000.s022.t005 bn:00090098v
semeval2015.d000.s022.t006 bn:00017027n
semeval2015.d000.s022.t007 bn:00087100v
semeval2015.d000.s022.t008 bn:00015187n
semeval2015.d000.s022.t009 bn:00083391v
semeval2015.d000.s022.t010 bn:00041942n
semeval2015.d000.s022.t011 bn:00004691n
semeval2015.d000.s023.t000 bn:00011744n
semeval2015.d000.s023.t001 bn:00085761v
